DMU,Year,Fawn,Yearling,Adult,Total
Unit 1,2005,52,124,134,310
Unit 1,2006,55,114,149,318
Unit 1,2007,31,69,105,205
Unit 1,2008,44,101,126,271
Unit 1,2009,43,54,107,204
Unit 1,2010,36,64,121,221
Unit 1,2011,30,78,95,203
Unit 1,2012,32,62,136,230
Unit 1,2013,13,49,88,150
Unit 1,2014,15,43,57,115
Unit 1,2015,9,45,87,141
Unit 1,2016,17,34,93,144
Unit 1,2017,3,17,36,56
Unit 1,2018,44,91,282,417
Unit 1,2019,21,38,120,179
Unit 1,2020,7,14,39,60
Unit 1,2021,1,1,9,11
Unit 1,2022,NA,2,5,NA
Unit 1,2023,1,3,7,11
Unit 2,2005,152,187,306,645
Unit 2,2006,146,159,364,669
Unit 2,2007,195,151,268,614
Unit 2,2008,92,173,220,485
Unit 2,2009,55,76,160,291
Unit 2,2010,71,101,180,352
Unit 2,2011,71,70,123,264
Unit 2,2012,68,94,141,303
Unit 2,2013,39,57,98,194
Unit 2,2014,41,56,114,211
Unit 2,2015,46,73,122,241
Unit 2,2016,13,40,70,123
Unit 2,2017,16,33,63,112
Unit 2,2018,19,70,138,227
Unit 2,2019,16,33,100,149
Unit 2,2020,13,29,81,123
Unit 2,2021,11,26,76,113
Unit 2,2022,8,10,64,82
Unit 2,2023,10,25,79,114
Unit 3,2005,69,133,195,397
Unit 3,2006,75,158,253,486
Unit 3,2007,64,103,168,335
Unit 3,2008,44,101,136,281
Unit 3,2009,38,96,54,188
Unit 3,2010,30,70,127,227
Unit 3,2011,27,45,81,153
Unit 3,2012,36,55,115,206
Unit 3,2013,21,72,62,155
Unit 3,2014,26,72,105,203
Unit 3,2015,34,65,115,214
Unit 3,2016,31,72,120,223
Unit 3,2017,27,52,93,172
Unit 3,2018,26,89,120,235
Unit 3,2019,37,25,96,158
Unit 3,2020,20,34,70,124
Unit 3,2021,7,20,58,85
Unit 3,2022,4,28,58,90
Unit 3,2023,13,22,70,105
Unit 4,2005,79,70,190,339
Unit 4,2006,102,83,239,424
Unit 4,2007,152,52,172,376
Unit 4,2008,99,72,219,390
Unit 4,2009,67,57,153,277
Unit 4,2010,45,43,198,286
Unit 4,2011,73,34,151,258
Unit 4,2012,50,43,158,251
Unit 4,2013,57,47,123,227
Unit 4,2014,46,42,152,240
Unit 4,2015,69,36,119,224
Unit 4,2016,37,47,167,251
Unit 4,2017,43,42,91,176
Unit 4,2018,14,30,106,150
Unit 4,2019,21,37,84,142
Unit 4,2020,24,27,60,111
Unit 4,2021,11,11,59,81
Unit 4,2022,27,33,100,160
Unit 4,2023,23,35,101,159
Unit 5,2005,59,78,175,312
Unit 5,2006,62,84,142,288
Unit 5,2007,57,68,162,287
Unit 5,2008,46,86,163,295
Unit 5,2009,55,57,152,264
Unit 5,2010,65,50,170,285
Unit 5,2011,63,58,162,283
Unit 5,2012,42,55,125,222
Unit 5,2013,47,55,114,216
Unit 5,2014,27,95,198,320
Unit 5,2015,31,48,110,189
Unit 5,2016,35,67,141,243
Unit 5,2017,30,58,121,209
Unit 5,2018,25,52,92,169
Unit 5,2019,23,31,95,149
Unit 5,2020,8,12,40,60
Unit 5,2021,11,31,50,92
Unit 5,2022,16,28,78,122
Unit 5,2023,15,22,75,112
Unit 6,2005,31,40,78,149
Unit 6,2006,25,38,77,140
Unit 6,2007,10,19,49,78
Unit 6,2008,18,45,86,149
Unit 6,2009,12,15,63,90
Unit 6,2010,15,33,76,124
Unit 6,2011,15,19,66,100
Unit 6,2012,4,17,35,56
Unit 6,2013,4,21,24,49
Unit 6,2014,8,23,51,82
Unit 6,2015,6,14,39,59
Unit 6,2016,11,29,59,99
Unit 6,2017,7,11,24,42
Unit 6,2018,7,12,26,45
Unit 6,2019,2,7,36,45
Unit 6,2020,3,18,43,64
Unit 6,2021,3,3,10,16
Unit 6,2022,1,3,5,9
Unit 6,2023,NA,2,5,NA
